edge_id,begin_id,end_id,edgeshape,color,edgetype,interaction,begin,end
1,216,215,1,9,0,sq_bk___,908,907
2,212,78,1,8,0,sq_bk___,904,137
3,209,73,1,6,1,th_gn___,735,132
4,208,107,1,6,1,sq_gn_xG,733,166
5,208,105,1,6,1,sq_gn_xG,733,164
6,207,143,1,6,0,th_gn___,732,236
7,206,237,1,7,2,sq_vt_xR,731,929
8,205,223,3,6,1,th_gn_xG,730,915
9,204,238,1,8,0,sq_rd___,729,930
10,203,237,1,7,0,sq_vt___,728,929
11,202,264,1,6,1,sq_gn___,727,371
12,202,270,1,6,1,sq_gn_xG,727,418
13,202,195,1,6,0,sq_gn___,727,720
14,202,110,1,6,1,sq_gn_xG,727,202
15,202,237,1,7,0,sq_vt___,727,929
16,202,223,1,6,1,sq_gn_xG,727,915
17,202,149,1,6,0,sq_gn___,727,336
18,202,310,1,6,0,sq_gn_xR,727,033
19,201,195,1,6,0,sq_gn___,726,720
20,201,83,1,7,0,sq_vt___,726,142
21,201,99,1,7,0,sq_vt___,726,158
22,201,136,1,7,0,sq_vt_xG,726,228
23,201,98,1,7,0,sq_vt___,726,157
24,201,237,1,7,0,sq_vt___,726,929
25,200,97,1,8,0,th_rd___,725,156
26,199,96,1,6,0,sq_gn___,724,155
27,198,132,1,5,1,th_mg_xG,723,224
28,197,134,1,5,1,th_mg_xG,722,226
29,196,122,1,6,0,sq_mg___,721,214
30,196,125,1,6,0,sq_mg___,721,217
31,195,48,1,6,1,sq_gn_xG,720,078
32,194,120,1,6,0,th_gn___,719,212
33,194,50,1,6,0,th_gn___,719,080
34,194,19,1,6,0,th_gn___,719,419
35,193,117,1,8,0,th_rd___,718,209
36,192,32,1,6,1,sq_gn_xG,717,432
37,191,111,1,6,1,th_gn_xG,716,203
38,190,110,1,6,1,th_gn_xG,715,202
39,189,242,1,6,1,th_gn_xG,714,934
40,189,239,1,6,1,th_gn_xG,714,931
41,189,75,1,6,0,th_gn___,714,134
42,189,80,1,6,0,th_gn___,714,139
43,188,78,1,6,1,sq_gn_xG,713,137
44,187,172,1,1,1,sq_bl_xG,712,359
45,186,170,1,6,0,sq_gn___,711,357
46,185,163,1,1,0,sq_bl___,710,350
47,184,41,1,8,0,sq_rd___,709,071
48,184,162,1,8,0,sq_rd___,709,349
49,183,256,1,6,0,sq_gn___,708,363
50,183,72,1,6,1,sq_gn_xG,708,131
51,182,150,1,1,0,th_bl___,707,337
52,181,265,1,6,0,sq_gn_xR,706,372
53,180,13,1,6,0,th_gn___,705,013
54,179,8,1,5,1,th_mg_xG,704,008
55,178,6,1,5,1,th_mg_xG,703,006
56,177,101,1,5,1,th_mg_xG,702,160
57,177,6,1,5,1,th_mg_xG,702,006
58,177,1,1,5,0,th_mg___,702,001
59,176,269,1,6,1,sq_gn_xG,701,417
60,175,72,1,1,0,sq_bl___,362,131
61,167,174,1,1,0,sq_bl___,354,361
62,167,159,1,1,0,sq_bl___,354,346
63,165,68,1,9,2,sq_bk_xR,352,127
64,171,64,1,1,0,sq_bl___,358,095
65,170,51,1,6,0,sq_gn___,357,081
66,164,165,1,1,0,sq_bl___,351,352
67,166,159,1,8,0,sq_rd___,353,346
68,166,174,1,8,0,sq_rd___,353,361
69,161,163,1,1,0,sq_bl___,048,350
70,159,152,1,1,0,sq_bl___,346,339
71,159,210,1,8,0,sq_bl___,346,901
72,159,72,2,8,0,sq_bl___,346,131
73,159,163,1,1,0,sq_bl___,346,350
75,159,153,1,9,0,sq_bk___,346,340
76,157,256,1,1,2,sq_bl_xR,344,363
77,174,72,1,1,0,sq_bl___,361,131
78,160,159,1,6,1,sq_gn_xG,347,346
79,154,174,1,5,1,sq_mg_xG,341,361
80,154,160,1,5,0,sq_mg___,341,347
81,153,160,1,9,0,sq_bk___,340,347
82,153,154,1,9,0,sq_bk___,340,341
83,153,150,1,1,0,sq_bl___,340,337
84,158,159,1,1,0,sq_bl___,345,346
86,172,173,2,1,0,sq_bl___,359,360
87,152,148,1,1,2,sq_bl_xR,339,335
88,152,72,1,1,0,sq_bl___,339,131
89,156,163,1,1,0,sq_bl___,343,350
90,151,158,1,1,0,sq_bl___,338,345
92,151,152,1,1,0,sq_bl___,338,339
93,151,257,1,1,2,sq_bl___,338,364
95,151,156,1,1,0,sq_bl___,338,343
96,151,259,2,1,0,sq_bl___,338,366
97,163,109,1,1,2,sq_bl_xR,350,201
98,163,210,1,1,0,sq_bl___,350,901
99,163,69,1,1,0,sq_bl___,350,128
100,163,171,1,1,0,sq_bl___,350,358
101,163,72,1,1,0,sq_bl___,350,131
102,163,149,1,1,0,sq_bl___,350,336
103,163,157,1,1,0,sq_bl___,350,344
104,163,170,1,1,0,sq_bl___,350,357
105,163,164,1,1,0,sq_bl___,350,351
106,149,26,1,1,0,sq_bl___,336,426
107,148,31,1,1,0,sq_bl___,335,431
108,146,150,1,1,0,sq_bl___,333,337
109,145,104,1,1,0,sq_bl___,332,163
110,144,121,1,6,1,th_vt_xG,238,213
111,139,84,1,8,2,sq_rd_xR,231,143
112,138,60,1,7,0,sq_vt___,230,090
113,137,98,1,8,2,sq_rd_xR,229,157
114,134,220,1,4,0,sq_br___,226,912
115,134,225,1,4,0,sq_br___,226,917
116,230,241,1,8,0,sq_bk___,922,933
117,130,131,1,4,0,sq_br___,222,223
118,127,121,1,6,1,sq_mg_xG,219,213
119,135,222,1,9,0,sq_bk___,227,914
120,135,103,1,8,2,sq_bk_xR,227,162
121,124,55,1,9,2,sq_bk_xR,216,085
122,122,121,1,6,1,sq_mg_xG,214,213
123,125,58,3,6,0,th_mg___,217,088
124,126,121,1,6,1,sq_mg_xG,218,213
125,121,119,1,8,0,sq_rd___,213,211
127,121,126,3,5,0,th_mg___,213,218
128,121,132,1,4,0,sq_br___,213,224
129,119,93,1,9,2,sq_bk_xR,211,152
